2026-09-15 08:37:42 | NOT_FOUND  | TMDB_NO_MA | AMOUNA                                   | AMOUNA                                   | P:-   B:-   L:-   M:-  
2026-09-15 08:37:42 | NOT_FOUND  | TMDB_NO_MA | FATEEN                                   | FATEEN                                   | P:-   B:-   L:-   M:-  
2026-09-15 08:37:50 | NOT_FOUND  | CACHE_NEGA | AMOUNA                                   | AMOUNA                                   | P:-   B:-   L:-   M:-  
2026-09-15 08:37:50 | NOT_FOUND  | CACHE_NEGA | FATEEN                                   | FATEEN                                   | P:-   B:-   L:-   M:-  
2026-09-15 08:38:18 | NOT_FOUND  | TMDB_NO_MA | Lil Mawt                                 | Lil Mawt                                 | P:-   B:-   L:-   M:-  
2026-09-15 08:38:20 | NOT_FOUND  | ELCIN_NO_M | Woroud Wa Thonoub                        | Woroud Wa Thonoub                        | P:-   B:-   L:-   M:-  
2026-09-15 08:38:31 | NOT_FOUND  | ELCIN_NO_M | Sirr Al Haneen                           | Sirr Al Haneen                           | P:-   B:-   L:-   M:-  
2026-09-15 08:38:32 | NOT_FOUND  | TMDB_NO_MA | Shaqet Faisal                            | Shaqet Faisal                            | P:-   B:-   L:-   M:-  
2026-09-15 08:38:33 | NOT_FOUND  | ELCIN_NO_M | Ahlan Bi El Sittat                       | Ahlan Bi El Sittat                       | P:-   B:-   L:-   M:-  
2026-09-15 08:38:34 | NOT_FOUND  | CACHE_NEGA | Ahlan Bi El Sittat                       | Ahlan Bi El Sittat                       | P:-   B:-   L:-   M:-  
2026-09-15 08:38:34 | NOT_FOUND  | CACHE_NEGA | Shaqet Faisal                            | Shaqet Faisal                            | P:-   B:-   L:-   M:-  
2026-09-15 08:38:35 | NOT_FOUND  | CACHE_NEGA | Ahlan Bi El Sittat                       | Ahlan Bi El Sittat                       | P:-   B:-   L:-   M:-  
2026-09-15 08:38:35 | NOT_FOUND  | CACHE_NEGA | Shaqet Faisal                            | Shaqet Faisal                            | P:-   B:-   L:-   M:-  
2026-09-15 08:38:37 | NOT_FOUND  | CACHE_NEGA | Ahlan Bi El Sittat                       | Ahlan Bi El Sittat                       | P:-   B:-   L:-   M:-  
2026-09-15 08:38:37 | NOT_FOUND  | CACHE_NEGA | Shaqet Faisal                            | Shaqet Faisal                            | P:-   B:-   L:-   M:-  
2026-09-15 08:38:39 | NOT_FOUND  | ELCIN_NO_M | Min El Qalb Lil Qalb                     | Min El Qalb Lil Qalb                     | P:-   B:-   L:-   M:-  
2026-09-15 08:38:41 | NOT_FOUND  | CACHE_NEGA | Min El Qalb Lil Qalb                     | Min El Qalb Lil Qalb                     | P:-   B:-   L:-   M:-  
2026-09-15 08:38:44 | NOT_FOUND  | CACHE_NEGA | Min El Qalb Lil Qalb                     | Min El Qalb Lil Qalb                     | P:-   B:-   L:-   M:-  
2026-09-15 08:38:55 | NOT_FOUND  | ELCIN_NO_M | اسماعيل يس بوليس سرى                     | اسماعيل يس بوليس سرى                     | P:-   B:-   L:-   M:-  
2026-09-15 08:38:55 | NOT_FOUND  | ELCIN_NO_M | مصر تستطيع                               | مصر تستطيع                               | P:-   B:-   L:-   M:-  
2026-09-15 08:39:16 | NOT_FOUND  | ELCIN_NO_M | مذيع الاخبار                             | مذيع الاخبار                             | P:-   B:-   L:-   M:-  
2026-09-15 08:39:16 | NOT_FOUND  | ELCIN_NO_M | رعد وعجرفة                               | رعد وعجرفة                               | P:-   B:-   L:-   M:-  
2026-09-15 08:39:18 | NOT_FOUND  | TMDB_NO_MA | Sherlock & Daughter - 3                  | Sherlock & Daughter - 3                  | P:-   B:-   L:-   M:-  
2026-09-15 08:39:24 | NOT_FOUND  | TMDB_NO_MA | Fire Dance - 1                           | Fire Dance - 1                           | P:-   B:-   L:-   M:-  
